,newold,stock,sleeps,length,price,location,horsepower
565,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
566,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
567,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
568,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
569,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
570,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
571,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
572,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
573,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
574,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
575,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
576,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
577,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
578,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
579,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
580,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
581,New,Stock # 1972800,5,25 ft 8 in,159957.0,"Cedar Falls, IA",188
582,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
583,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
584,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
585,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
586,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
587,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
588,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
589,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
590,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
591,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
592,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
593,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
594,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
595,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
596,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
597,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
598,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
599,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
600,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
601,New,Stock # 1972800,5,25 ft 8 in,159957.0,"Cedar Falls, IA",188
602,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
603,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
604,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
605,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
606,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
607,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
608,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
609,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
