,newold,stock,sleeps,length,price,location,horsepower
827,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
828,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
829,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
830,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
831,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
832,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
833,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
834,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
835,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
836,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
837,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
838,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
839,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
840,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
841,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
842,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
843,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
844,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
845,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
846,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
847,New,Stock # 2024151,5,24 ft 9 in,156257.0,"Fresno, CA",
848,New,Stock # 2028999,6,25 ft 5 in,159995.0,"Katy, TX",188
849,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
850,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
851,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
852,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
853,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
854,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
855,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
856,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
857,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
858,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
859,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
